user,tab,list,par,pic,sumClicks,avgTime,clicks1,click2,time1,time2
P1,1,0,0,0,3,7167.95,2,1,13032.7,1303.2
P1,1,0,0,1,5,1579.325,4,1,687.45,2471.2
P1,0,1,0,0,2,94775.9,1,1,188295.8,1256
P1,0,1,0,1,3,1225.8,1,2,673.6,1778
P1,0,0,1,0,3,1560.5,1,2,629.8,2491.2
P1,0,0,1,1,4,990.0666667,1,3,352.4,1627.733333
P2,1,0,0,0,2,7417.55,1,1,2218.3,12616.8
P2,1,0,0,1,6,16126.98333,3,3,8901.966667,23352
P2,0,1,0,0,4,14540.775,2,2,18045.15,11036.4
P2,0,1,0,1,4,17685.55,1,3,5670.3,29700.8
P2,0,0,1,0,3,25101.95,2,1,32736.7,17467.2
P2,0,0,1,1,1,13003,1,0,13003,
P3,1,0,0,0,5,10502.1875,4,1,10697.975,10306.4
P3,1,0,0,1,3,156815.275,2,1,46439.35,267191.2
P3,0,1,0,0,2,9015.6,0,2,,9015.6
P3,0,1,0,1,2,4402.55,2,0,4402.55,
P3,0,0,1,0,2,15600.8,1,1,21894.4,9307.2
P3,0,0,1,1,6,21100.33,1,5,5416.5,36784.16
P4,1,0,0,0,6,22929.125,2,4,19631.05,26227.2
P4,1,0,0,1,6,15327.81667,3,3,10179.1,20476.53333
P4,0,1,0,0,3,15545.05,2,1,17014.1,14076
P4,0,1,0,1,1,1990.1,1,0,1990.1,
P4,0,0,1,0,2,62640.55,1,1,14081.9,111199.2
P4,0,0,1,1,2,113559.25,1,1,37210.5,189908
P5,1,0,0,0,4,14300.31667,1,3,8762.5,19838.13333
P5,1,0,0,1,3,18117.7,3,0,18117.7,
P5,0,1,0,0,7,30861.9,3,4,16640,45083.8
P5,0,1,0,1,4,21068.225,2,2,6290.85,35845.6
P5,0,0,1,0,0,,0,0,,
P5,0,0,1,1,2,75756.15,1,1,2172.3,149340
P6,1,0,0,0,5,76851.15,3,2,31461.5,122240.8
P6,1,0,0,1,2,20862.8,0,2,,20862.8
P6,0,1,0,0,4,6014.283333,3,1,3490.166667,8538.4
P6,0,1,0,1,3,26387.15,2,1,15168.7,37605.6
P6,0,0,1,0,3,11460.2,1,2,6127.6,16792.8
P6,0,0,1,1,3,66920.9,1,2,13227,120614.8
P7,1,0,0,0,6,64688.5,4,2,48069,81308
P7,1,0,0,1,3,76430.5,1,2,13289,139572
P7,0,1,0,0,1,14723,1,0,14723,
P7,0,1,0,1,4,70237.5,2,2,91495,48980
P7,0,0,1,0,3,50140.5,2,1,30433,69848
P7,0,0,1,1,3,54864,0,3,,54864
P8,1,0,0,0,7,28567.16667,3,4,10542.33333,46592
P8,1,0,0,1,4,18834.5,2,2,14209,23460
P8,0,1,0,0,4,29324.33333,1,3,9526,49122.66667
P8,0,1,0,1,1,44490,1,0,44490,
P8,0,0,1,0,2,34168,1,1,12496,55840
P8,0,0,1,1,2,6843,2,0,6843,
P9,1,0,0,0,3,16082.625,2,1,18563.65,13601.6
P9,1,0,0,1,7,13642.43333,1,6,2282.6,25002.26667
P9,0,1,0,0,0,,0,0,,
P9,0,1,0,1,2,3611.35,1,1,2248.3,4974.4
P9,0,0,1,0,4,8204.183333,3,1,7553.966667,8854.4
P9,0,0,1,1,4,12767.93333,3,1,19532.66667,6003.2
P10,1,0,0,0,6,11373.15,4,2,5321.1,17425.2
P10,1,0,0,1,5,19939.35,3,2,6670.7,33208
P10,0,1,0,0,5,18910.45,1,4,6104.3,31716.6
P10,0,1,0,1,3,13978.25,2,1,6817.3,21139.2
P10,0,0,1,0,1,25846.4,0,1,,25846.4
P10,0,0,1,1,0,,0,0,,
S1,1,0,0,0,1,13032.7,1,0,13032.7,
S1,1,0,0,1,8,1579.325,5,3,687.45,2471.2
S1,0,1,0,0,2,94775.9,1,1,188295.8,1256
S1,0,1,0,1,2,1225.8,1,1,673.6,1778
S1,0,0,1,0,3,1560.5,1,2,629.8,2491.2
S1,0,0,1,1,4,990.0666667,1,3,352.4,1627.733333
S2,1,0,0,0,2,7417.55,1,1,2218.3,12616.8
S2,1,0,0,1,7,16126.98333,3,4,8901.966667,23352
S2,0,1,0,0,2,14540.775,1,1,18045.15,11036.4
S2,0,1,0,1,5,17685.55,2,3,5670.3,29700.8
S2,0,0,1,0,3,25101.95,2,1,32736.7,17467.2
S2,0,0,1,1,1,13003,1,0,13003,
S3,1,0,0,0,5,10502.1875,4,1,10697.975,10306.4
S3,1,0,0,1,3,156815.275,2,1,46439.35,267191.2
S3,0,1,0,0,3,17218.275,1,2,25420.95,9015.6
S3,0,1,0,1,3,6781.975,1,2,4402.55,9161.4
S3,0,0,1,0,2,15600.8,1,1,21894.4,9307.2
S3,0,0,1,1,4,21100.33,1,3,5416.5,36784.16
S4,1,0,0,0,5,22929.125,2,3,19631.05,26227.2
S4,1,0,0,1,7,15327.81667,4,3,10179.1,20476.53333
S4,0,1,0,0,2,15545.05,1,1,17014.1,14076
S4,0,1,0,1,2,32313.85,1,1,1990.1,62637.6
S4,0,0,1,0,2,62640.55,1,1,14081.9,111199.2
S4,0,0,1,1,2,113559.25,1,1,37210.5,189908
S5,1,0,0,0,4,14300.31667,1,3,8762.5,19838.13333
S5,1,0,0,1,4,25289.33333,3,1,18117.7,32460.96667
S5,0,1,0,0,6,30861.9,3,3,16640,45083.8
S5,0,1,0,1,3,21068.225,1,2,6290.85,35845.6
S5,0,0,1,0,1,4231.575,1,0,4231.575,
S5,0,0,1,1,2,75756.15,1,1,2172.3,149340
S6,1,0,0,0,5,76851.15,2,3,31461.5,122240.8
S6,1,0,0,1,3,19169.31667,1,2,17475.83333,20862.8
S6,0,1,0,0,4,6014.283333,3,1,3490.166667,8538.4
S6,0,1,0,1,3,26387.15,2,1,15168.7,37605.6
S6,0,0,1,0,2,11460.2,1,1,6127.6,16792.8
S6,0,0,1,1,3,66920.9,1,2,13227,120614.8
S7,1,0,0,0,5,64688.5,3,2,48069,81308
S7,1,0,0,1,3,76430.5,1,2,13289,139572
S7,0,1,0,0,1,14723,1,0,14723,
S7,0,1,0,1,4,70237.5,2,2,91495,48980
S7,0,0,1,0,3,50140.5,2,1,30433,69848
S7,0,0,1,1,4,63094.85,1,3,22486.5,103703.2
S8,1,0,0,0,10,46893.6,4,6,14540,79247.2
S8,1,0,0,1,10,46109.4,6,4,12971.6,79247.2
S8,0,1,0,0,0,,0,0,,
S8,0,1,0,1,0,,0,0,,
S8,0,0,1,0,0,,0,0,,
S8,0,0,1,1,0,,0,0,,
S9,1,0,0,0,0,,0,0,,
S9,1,0,0,1,0,,0,0,,
S9,0,1,0,0,11,59880.8,5,6,12681.6,107080
S9,0,1,0,1,9,45504.25,5,4,13995.7,77012.8
S9,0,0,1,0,0,,0,0,,
S9,0,0,1,1,0,,0,0,,
S10,1,0,0,0,0,,0,0,,
S10,1,0,0,1,0,,0,0,,
S10,0,1,0,0,0,,0,0,,
S10,0,1,0,1,0,,0,0,,
S10,0,0,1,0,11,64439.6,6,5,13416.8,115462.4
S10,0,0,1,1,9,68892.6,4,5,10915.6,126869.6
