Participant,tab-noPic-first-clicks,tab-pic-first-clicks,list-noPic-first-clicks,list-pic-first-clicks,paragraph-noPic-first-clicks,paragraph-pic-first-clicks,tab-noPic-second-clicks,tab-pic-second-clicks,list-noPic-second-clicks,list-pic-second-clicks,paragraph-noPic-second-clicks,paragraph-pic-second-clicks,tab-noPic-first-time,tab-pic-first-time,list-noPic-first-time,list-pic-first-time,paragraph-noPic-first-time,paragraph-pic-first-time,tab-noPic-second-time,tab-pic-second-time,list-noPic-second-time,list-pic-second-time,paragraph-noPic-second-time,paragraph-pic-second-time
P1,4,4,0,0,1,1,4,4,0,0,1,1,12284.78,4385.35,X,X,3119.40,4619.20,4288.33,2287.38,X,X,2068.40,3855.70
P2,5,4,1,0,0,0,5,5,0,0,0,0,53742.84,72567.53,13792.50,X,X,X,6875.72,6708.94,X,X,X,X
P3,2,2,2,3,0,1,2,2,2,2,1,1,3421.65,3260.55,3571.55,4602.60,X,6078.60,3403.00,1218.75,1554.70,2204.30,1844.00,2184.60
P4,1,5,0,1,1,2,0,4,0,1,1,4,5084.00,4024.00,X,13916.00,2715.00,4962.00,X,2946.50,X,1791.00,4315.00,2851.50
P5,3,2,3,2,0,0,4,4,1,1,0,0,3990.53,2411.35,5951.73,11268.35,X,X,3261.13,4934.25,2680.70,5795.50,X,X
P6,1,0,1,4,1,3,2,1,2,1,3,1,154.40,X,184.30,677.25,160.40,162.37,476.40,180.20,159.85,183.80,159.20,145.20
P7,0,0,3,2,2,3,1,1,3,2,2,1,X,X,7384.20,7367.50,3868.30,4416.43,792.60,1911.20,58269.03,861.45,791.85,879.80
P8,1,3,1,2,1,2,1,1,0,1,3,4,4466.70,4726.47,3867.90,2266.75,2200.10,9849.55,870.30,6783.90,X,5897.50,3645.07,3611.98
P9,1,3,0,2,2,2,1,1,1,3,2,2,3055.90,7639.43,X,7911.50,6836.95,4505.80,2376.90,6300.50,2146.10,2576.00,4494.30,2366.15
P10,1,1,2,2,2,2,1,1,2,2,2,2,1680.50,1601.90,5191.50,5064.45,4288.35,3092.45,1584.50,1344.20,2868.35,3543.90,2143.90,4472.55
S1,4,4,0,0,1,1,4,4,0,0,1,1,12284.78,4385.35,X,X,3119.40,4619.20,4288.33,2287.38,X,X,2068.40,3855.70
S2,5,4,1,0,0,0,5,5,0,0,0,0,53742.84,72567.53,13792.50,X,X,X,6875.72,6708.94,X,X,X,X
S3,2,2,2,3,0,1,2,2,2,2,1,1,3421.65,3260.55,3571.55,4602.60,X,6078.60,3403.00,1218.75,1554.70,2204.30,1844.00,2184.60
S4,1,5,0,1,1,2,0,4,0,1,1,4,5084.00,4024.00,X,13916.00,2715.00,4962.00,X,2946.50,X,1791.00,4315.00,2851.50
S5,3,2,3,2,0,0,4,4,1,1,0,0,3990.53,2411.35,5951.73,11268.35,X,X,3261.13,4934.25,2680.70,5795.50,X,X
S6,1,0,1,4,1,3,2,1,2,1,3,1,154.40,X,184.30,677.25,160.40,162.37,476.40,180.20,159.85,183.80,159.20,145.20
S7,0,0,3,2,2,3,1,1,3,2,2,1,X,X,7384.20,7367.50,3868.30,4416.43,792.60,1911.20,58269.03,861.45,791.85,879.80
S8,5,5,0,0,0,0,5,5,0,0,0,0,1458.94,1281.88,X,X,X,X,989.06,1041.74,X,X,X,X
S9,0,0,5,5,0,0,0,0,5,5,0,0,X,X,1642.10,902.08,X,X,X,X,1077.42,1023.14,X,X
S10,0,0,0,0,5,5,0,0,0,0,5,5,X,X,X,X,1359.14,1184.10,X,X,X,X,1167.70,1165.12
