slopetab_nopic_clicks,slopelist_nopic_clicks,slopeparagraph_nopic_clicks,slopetab_pic_clicks,slopelist_pic_clicks,slopeparagraph_pic_clicks,Concatenated_Variables,y_values
0,0,0,1,1,1,000111,52.61
0,0,1,0,1,1,001011,50.699
0,0,1,1,0,1,001101,51.748999999999995
0,0,1,1,1,0,001110,51.739
0,1,0,0,1,1,010011,51.01
0,1,0,1,0,1,010101,52.059999999999995
0,1,0,1,1,0,010110,52.05
0,1,1,0,0,1,011001,50.148999999999994
0,1,1,0,1,0,011010,50.138999999999996
0,1,1,1,0,0,011100,51.18899999999999
1,0,0,0,1,1,100011,51.910000000000004
1,0,0,1,0,1,100101,52.96
1,0,0,1,1,0,100110,52.95
1,0,1,0,0,1,101001,51.049
1,0,1,0,1,0,101010,51.039
1,0,1,1,0,0,101100,52.089
1,1,0,0,0,1,110001,51.36
1,1,0,0,1,0,110010,51.35
1,1,0,1,0,0,110100,52.4
1,1,1,0,0,0,111000,50.489
